"Serial No.","Dealer Credit Code","newPpi_1(without QC)","newPpi_1(with QC)"
477,0000470452,-,-
478,0000108799,-,-
479,0000100686,825,-
480,0000178403,-,-
481,0000462838,-,-
482,0000176840,-,-
483,0000107822,-,-
484,0000109061,1800,-
485,0000108873,-,-
486,0000108788,-,-
487,0000109188,-,-
488,0000107315,-,-
489,0000103524,-,-
490,0000178517,-,-
491,0000100703,825,-
492,0000100537,1800,-
493,0000222816,425,-
494,0000107431,-,-
495,0000100573,-,-
496,0000109090,-,-
497,0000106969,425,-
498,0000357897,-,-
499,0000109035,-,-
500,0000108968,-,-
501,0000107282,-,-
502,0000108273,200,-
503,0000471121,-,-
504,0000103556,-,-
505,0000109151,-,-
506,0000107880,100,-
507,0000360350,-,-
508,0000115991,-,-
509,0000109191,-,-
510,0000153120,825,-
511,0000107816,-,-
512,0000108733,-,-
513,0000100541,-,-
514,0000107360,-,-
515,0000108601,-,-
516,0000283316,-,-
517,0000100711,-,-
518,0000108401,-,-
519,0000177609,-,-
520,0000170875,-,-
521,0000107437,-,-
522,0000182248,-,-
523,0000108441,-,-
524,0000198907,-,-
525,0000100888,-,-
526,0000107516,425,-
527,0000196439,-,-
528,0000106935,-,-
529,0000166519,-,-
530,0000108268,-,-
531,0000108634,-,-
532,0000108904,-,-
533,0000107962,-,-
534,0000108009,-,-
535,0000194324,-,-
536,0000287339,-,-
537,0000107308,-,-
538,0000330469,-,-
539,0000107927,-,-
540,0000162933,-,-
541,0000109225,-,-
542,0000107956,-,-
543,0000108910,-,-
544,0000100581,-,-
545,0000326281,-,-
546,0000108925,-,-
547,0000108834,-,-
548,0000106933,-,-
549,0000266962,-,-
550,0000108004,1150,-
551,0000165151,-,-
552,0000107814,200,-
553,0000108223,-,-
554,0000108043,-,-
555,0000103560,-,-
556,0000107830,425,-
557,0000107162,1150,-
558,0000282213,-,-
559,0000100877,-,-
560,0000109285,-,-
561,0000107844,-,-
562,0000109254,425,-
563,0000108007,-,-
564,0000107216,-,-
565,0000219853,425,-
566,0000109249,-,-
567,0000107569,1150,-
568,0000107495,-,-
569,0000271722,100,-
570,0000107190,-,-
571,0000107048,-,-
572,0000107062,-,-
573,0000109217,-,-
574,0000100547,-,-
575,0000108020,-,-
576,0000107356,100,-
577,0000100590,-,-
578,0000108593,-,-
579,0000107310,425,-
580,0000107592,425,-
581,0000103515,-,-
582,0000108688,-,-
583,0000107774,-,-
584,0000337356,-,-
585,0000108418,2500,-
586,0000214229,-,-
587,0000103527,-,-
588,0000107805,-,-
589,0000108722,200,-
590,0000291544,-,-
591,0000180155,1800,-
592,0000100854,-,-
593,0000107961,-,-
594,0000266213,-,-
595,0000166297,-,-
596,0000103517,-,-
597,0000108991,-,-
598,0000108767,-,-
599,0000107776,-,-
600,0000100661,-,-
601,0000108227,-,-
602,0000107379,-,-
603,0000100706,-,-
604,0000100667,-,-
605,0000109016,-,-
606,0000107459,-,-
607,0000471202,1150,-
608,0000115957,-,-
609,0000108708,-,-
610,0000108156,3900,-
611,0000294903,-,-
612,0000100550,-,-
613,0000108644,-,-
614,0000108923,-,-
615,0000108604,-,-
616,0000337613,-,-
617,0000107253,-,-
618,0000115961,-,-
619,0000108260,-,-
620,0000108969,-,-
621,0000108010,-,-
622,0000100648,-,-
623,0000441336,-,-
624,0000100713,-,-
625,0000152292,-,-
626,0000106931,-,-
627,0000107144,-,-
628,0000108281,825,-
629,0000100861,-,-
630,0000154993,425,-
631,0000100879,-,-
632,0000108958,-,-
633,0000277647,-,-
634,0000107179,100,-
635,0000100717,-,-
636,0000100562,-,-
637,0000108493,-,-
638,0000115947,-,-
639,0000279893,-,-
640,0000108216,2500,-
641,0000108728,-,-
642,0000108844,-,-
643,0000163231,-,-
644,0000107414,-,-
645,0000140940,-,-
646,0000107347,-,-
647,0000107355,-,-
648,0000100611,1150,-
649,0000154785,-,-
650,0000106968,-,-
651,0000150844,-,-
652,0000115396,-,-
653,0000355408,-,-
654,0000163303,-,-
655,0000100608,-,-
656,0000107897,825,-
657,0000107912,200,-
658,0000107386,-,-
659,0000108652,825,-
660,0000107727,1150,-
661,0000109130,-,-
662,0000108038,-,-
663,0000100887,-,-
664,0000108471,-,-
665,0000109000,-,-
666,0000107563,-,-
667,0000100606,100,-
668,0000109116,-,-
669,0000278888,-,-
670,0000100676,-,-
671,0000107161,-,-
672,0000454650,-,-
673,0000357391,-,-
674,0000468740,-,-
675,0000107941,-,-
676,0000108681,-,-
677,0000329199,-,-
678,0000108189,200,-
679,0000109040,-,-
680,0000115420,-,-
681,0000354606,-,-
682,0000357901,-,-
683,0000100635,1800,-
684,0000100878,-,-
685,0000100534,100,-
686,0000100619,-,-
687,0000232020,-,-
688,0000109223,-,-
689,0000100644,-,-
690,0000107760,-,-
691,0000137348,-,-
692,0000108052,200,-
693,0000278133,100,-
694,0000195796,-,-
695,0000108202,-,-
696,0000115403,-,-
697,0000109062,-,-
698,0000100554,-,-
699,0000360303,-,-
700,0000103530,-,-
701,0000107339,-,-
702,0000162897,-,-
703,0000107819,-,-
704,0000148983,-,-
705,0000108962,100,-
