"Serial No.","Dealer Credit Code","PPI_1(without QC)","PPI_1(with QC)","SLAB_1(without QC)","SLAB_1(with QC)"
604,0000115199,450,-,100,-
605,0000354766,-,-,400,-
606,0000151323,-,-,-,-
607,0000113901,-,-,-,-
608,0000115360,-,-,-,-
609,0000113740,-,-,400,-
610,0000104830,-,-,-,-
611,0000151324,-,-,-,-
612,0000115361,-,-,-,-
613,0000115362,-,-,-,-
614,0000104670,1800,-,200,-
615,0000104832,-,-,-,-
616,0000114471,3600,-,400,-
617,0000114472,-,-,-,-
618,0000104833,-,-,-,-
619,0000113743,-,-,-,-
620,0000104671,1800,-,400,-
621,0000104672,-,-,-,-
622,0000104834,-,-,400,-
623,0000113582,-,-,-,-
624,0000321347,-,-,-,-
625,0000104835,-,-,-,-
626,0000104673,-,-,-,-
627,0000115365,-,-,-,-
628,0000113908,450,-,100,-
629,0000104836,900,-,-,-
630,0000113585,-,-,-,-
631,0000104837,-,-,-,-
632,0000116258,-,-,-,-
633,0000104675,-,-,-,-
634,0000104838,-,-,-,-
635,0000116259,-,-,-,-
636,0000113587,-,-,-,-
637,0000104677,-,-,-,-
638,0000104839,450,-,400,-
639,0000113749,-,-,-,-
640,0000283813,900,-,400,-
641,0000104678,3600,-,200,-
642,0000283814,-,-,-,-
643,0000267614,-,-,-,-
644,0000104679,-,-,-,-
645,0000293619,-,-,400,-
646,0000357287,-,-,-,-
647,0000180004,-,-,-,-
648,0000180005,900,-,400,-
649,0000113910,-,-,-,-
650,0000350025,-,-,400,-
651,0000104840,-,-,-,-
652,0000232415,-,-,-,-
653,0000104841,-,-,-,-
654,0000116262,-,-,-,-
655,0000114642,450,-,200,-
656,0000113590,-,-,-,-
657,0000104842,-,-,-,-
658,0000104680,-,-,-,-
659,0000151174,-,-,-,-
660,0000116264,-,-,-,-
661,0000104681,-,-,-,-
662,0000112862,-,-,-,-
663,0000114644,-,-,-,-
664,0000115373,-,-,-,-
665,0000104682,-,-,-,-
666,0000104683,-,-,-,-
667,0000104845,-,-,-,-
668,0000116266,-,-,-,-
669,0000114646,900,-,400,-
670,0000115375,-,-,-,-
671,0000113918,3600,-,-,-
672,0000104684,-,-,400,-
673,0000104846,-,-,-,-
674,0000116268,-,-,-,-
675,0000113919,-,-,-,-
676,0000104848,-,-,100,-
677,0000114649,-,-,-,-
678,0000112867,-,-,-,-
679,0000115378,-,-,-,-
680,0000104687,-,-,-,-
681,0000113597,1800,-,200,-
682,0000104849,-,-,-,-
